Tanggal,Karyawan_ID,Status
2024-11-03,EMP001,Hadir
2024-11-03,EMP002,Hadir
2024-11-04,EMP001,Absen
2024-11-04,EMP002,Hadir
2024-11-05,EMP001,Hadir
2024-11-05,EMP002,Absen
2024-11-06,EMP001,Hadir
2024-11-06,EMP002,Hadir
2024-11-07,EMP001,Hadir
2024-11-07,EMP002,Hadir
2024-11-08,EMP001,Absen
2024-11-08,EMP002,Hadir
2024-11-09,EMP001,Hadir
2024-11-09,EMP002,Absen
2024-11-10,EMP001,Hadir
2024-11-10,EMP002,Hadir
2024-11-11,EMP001,Hadir
2024-11-11,EMP002,Absen
2024-11-12,EMP001,Hadir
2024-11-12,EMP002,Hadir
2024-11-13,EMP001,Absen
2024-11-13,EMP002,Hadir
2024-11-14,EMP001,Hadir
2024-11-14,EMP002,Hadir
2024-11-15,EMP001,Hadir
2024-11-15,EMP002,Absen
2024-11-16,EMP001,Hadir
2024-11-16,EMP002,Hadir
2024-11-17,EMP001,Absen
2024-11-17,EMP002,Hadir
2024-11-18,EMP001,Hadir
2024-11-18,EMP002,Hadir
2024-11-19,EMP001,Hadir
2024-11-19,EMP002,Absen
2024-11-20,EMP001,Hadir
2024-11-20,EMP002,Hadir
